Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date,Transaction Month
TXN_1961373,Coffee,2.0,2.0,4.0,Credit Card,Takeaway,2023-09-08,September
TXN_4977031,Juice,4.0,3.0,12.0,Cash,In-store,2023-05-16,May
TXN_4271903,Cookie,4.0,1.0,4.0,Credit Card,In-store,2023-07-19,July
TXN_7034554,Salad,2.0,5.0,10.0,Cash,Takeaway,2023-04-27,April
TXN_3160411,Coffee,2.0,2.0,4.0,Digital Wallet,In-store,2023-06-11,June
TXN_2602893,Sandwich,5.0,4.0,20.0,Credit Card,In-store,2023-03-31,March
TXN_4433211,Juice,3.0,3.0,9.0,Credit Card,Takeaway,2023-10-06,October
TXN_6699534,Sandwich,4.0,4.0,16.0,Cash,Takeaway,2023-10-28,October
TXN_4717867,Juice,5.0,3.0,15.0,Digital Wallet,Takeaway,2023-07-28,July
TXN_2064365,Sandwich,5.0,4.0,20.0,Cash,In-store,2023-12-31,December
TXN_2548360,Salad,5.0,5.0,25.0,Cash,Takeaway,2023-11-07,November
TXN_7619095,Sandwich,2.0,4.0,8.0,Cash,In-store,2023-05-03,May
TXN_9437049,Cookie,5.0,1.0,5.0,Credit Card,Takeaway,2023-06-01,June
TXN_8915701,Tea,2.0,1.5,3.0,Digital Wallet,In-store,2023-03-21,March
TXN_2847255,Salad,3.0,5.0,15.0,Credit Card,In-store,2023-11-15,November
TXN_3765707,Sandwich,1.0,4.0,4.0,Cash,In-store,2023-06-10,June
TXN_6769710,Juice,2.0,3.0,6.0,Cash,In-store,2023-02-24,February
TXN_8876618,Juice,5.0,3.0,15.0,Cash,Takeaway,2023-03-25,March
TXN_3709394,Juice,4.0,3.0,12.0,Cash,Takeaway,2023-01-15,January
TXN_3522028,Sandwich,80.0,4.0,20.0,Cash,In-store,2023-04-04,April
TXN_3567645,Sandwich,4.0,4.0,16.0,Credit Card,Takeaway,2023-03-30,March
TXN_5132361,Sandwich,3.0,4.0,12.0,Digital Wallet,Takeaway,2023-12-01,December
TXN_2616390,Sandwich,2.0,4.0,8.0,Credit Card,In-store,2023-09-18,September
TXN_9400181,Sandwich,5.0,4.0,20.0,Cash,In-store,2023-06-03,June
TXN_7958992,Sandwich,3.0,4.0,12.0,Digital Wallet,Takeaway,2023-12-13,December
TXN_5183041,Cookie,5.0,1.0,5.0,Credit Card,In-store,2023-04-20,April
TXN_5695074,Juice,4.0,3.0,12.0,Credit Card,Takeaway,2023-04-10,April
TXN_8467949,Sandwich,5.0,4.0,20.0,Credit Card,In-store,2023-03-11,March
TXN_1736287,Coffee,5.0,2.0,10.0,Digital Wallet,Takeaway,2023-06-02,June
TXN_8927252,Cookie,2.0,1.0,2.0,Credit Card,In-store,2023-11-06,November
TXN_9677376,Sandwich,4.0,4.0,16.0,Cash,In-store,2023-08-15,August
TXN_8853997,Sandwich,2.0,4.0,8.0,Digital Wallet,Takeaway,2023-10-09,October
TXN_9130559,Sandwich,1.0,4.0,4.0,Credit Card,Takeaway,2023-05-28,May
TXN_6855453,Juice,4.0,3.0,12.0,Credit Card,In-store,2023-07-17,July
TXN_1080432,Salad,2.0,5.0,10.0,Credit Card,In-store,2023-04-29,April
TXN_2655815,Sandwich,4.0,4.0,16.0,Digital Wallet,Takeaway,2023-06-08,June
TXN_6688524,Coffee,4.0,2.0,8.0,Cash,In-store,2023-06-29,June
TXN_2083138,Sandwich,3.0,4.0,12.0,Credit Card,In-store,2023-04-17,April
TXN_2427584,Sandwich,4.0,4.0,16.0,Digital Wallet,Takeaway,2023-12-22,December
TXN_6650263,Tea,2.0,1.5,3.0,Cash,Takeaway,2023-01-10,January
TXN_9620080,Juice,4.0,3.0,12.0,Credit Card,Takeaway,2023-10-02,October
TXN_1491578,Cookie,2.0,1.0,2.0,Digital Wallet,Takeaway,2023-02-23,February
TXN_5455792,Salad,3.0,5.0,15.0,Cash,In-store,2023-03-22,March
TXN_8078640,Juice,4.0,3.0,12.0,Digital Wallet,In-store,2023-11-03,November
TXN_9499313,Juice,5.0,3.0,15.0,Cash,Takeaway,2023-03-02,March
TXN_8201146,Juice,5.0,3.0,15.0,Cash,In-store,2023-06-26,June
TXN_8230936,Juice,3.0,3.0,9.0,Credit Card,Takeaway,2023-05-02,May
TXN_7742742,Juice,5.0,3.0,15.0,Digital Wallet,Takeaway,2023-09-05,September
TXN_6342161,Salad,5.0,5.0,25.0,Cash,Takeaway,2023-01-08,January
TXN_8914892,Salad,5.0,5.0,25.0,Digital Wallet,In-store,2023-03-15,March
TXN_3363746,Sandwich,3.0,4.0,12.0,Credit Card,Takeaway,2023-11-25,November
TXN_8614868,Sandwich,5.0,4.0,20.0,Digital Wallet,Takeaway,2023-12-05,December
TXN_5522862,Cookie,2.0,1.0,2.0,Credit Card,Takeaway,2023-03-19,March
TXN_3578141,Juice,5.0,3.0,15.0,Credit Card,Takeaway,2023-06-27,June
TXN_2080895,Juice,9.0,3.0,3.0,Digital Wallet,In-store,2023-04-19,April
TXN_6421134,Sandwich,4.0,4.0,16.0,Cash,Takeaway,2023-11-03,November
TXN_8813311,Juice,5.0,3.0,15.0,Digital Wallet,In-store,2023-10-07,October
TXN_9023317,Salad,1.0,5.0,5.0,Cash,In-store,2023-09-30,September
TXN_8051289,Juice,1.0,3.0,3.0,Credit Card,In-store,2023-10-09,October
TXN_2537617,Sandwich,1.0,4.0,4.0,Cash,Takeaway,2023-05-27,May
TXN_9099694,Salad,3.0,5.0,15.0,Digital Wallet,Takeaway,2023-11-18,November
TXN_9230615,Sandwich,4.0,4.0,16.0,Digital Wallet,In-store,2023-06-01,June
TXN_4987129,Sandwich,3.0,4.0,12.0,Cash,In-store,2023-10-20,October
TXN_8501819,Juice,18.0,3.0,6.0,Cash,Takeaway,2023-03-30,March
TXN_3068204,Cookie,1.0,1.0,1.0,Credit Card,Takeaway,2023-10-03,October
TXN_8427104,Salad,2.0,5.0,10.0,Credit Card,In-store,2023-10-27,October
TXN_8471743,Juice,5.0,3.0,15.0,Digital Wallet,In-store,2023-04-06,April
TXN_2621580,Tea,2.0,1.5,3.0,Cash,In-store,2023-03-22,March
TXN_4726376,Juice,2.0,3.0,6.0,Credit Card,In-store,2023-01-31,January
TXN_6044979,Cookie,1.0,1.0,1.0,Cash,In-store,2023-12-08,December
TXN_4238417,Salad,2.0,5.0,10.0,Digital Wallet,In-store,2023-06-19,June
TXN_1900620,Sandwich,2.0,4.0,8.0,Credit Card,Takeaway,2023-12-14,December
